pooled_cluster,pooled_cluster_label,exposure,n_sites,n_patients,risk_diff_weighted,risk_ratio_weighted,low_prob_weighted,high_prob_weighted,min_site_risk_diff,max_site_risk_diff
1,Cluster 1: Room air / No ARF,no2_5y_z,10,21196,-6.367092738282762e-4,0.9834653820686652,0.07420536564228837,0.07356865636846006,-0.018366874711726402,0.04774282704780071
2,Cluster 2: Low-flow oxygen / No ARF,no2_5y_z,10,28021,-0.012962375913276562,0.9093618576761591,0.12879308782251073,0.11583071190923422,-0.0519872519853427,0.024021490865796403
3,Cluster 3: Noninvasive ventilation / No ARF,no2_5y_z,10,12583,-0.0016090553068818113,1.0063530595912396,0.26606052400215463,0.2644514686952727,-0.122619867046433,0.051024680933121604
4,Cluster 4: Invasive ventilation / Predominantly no ARF,no2_5y_z,10,24289,0.004737104671486879,1.0201553911737178,0.43539633678617357,0.44013344145766026,-0.12357419898045402,0.10756123732807002
5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,no2_5y_z,10,17358,-0.008011294438035143,0.9684258617615122,0.3959770688640835,0.38796577442604857,-0.11489508689236999,0.08376437954331312
1,Cluster 1: Room air / No ARF,pm25_5y_z,10,21196,0.0033976808769140506,1.008462508204323,0.07227864221505569,0.07567632309196964,-0.03825219103559591,0.04103782492410951
2,Cluster 2: Low-flow oxygen / No ARF,pm25_5y_z,10,28021,-0.005233958650091965,0.9520156606894231,0.12481394533158797,0.11957998668149618,-0.051471366472229996,0.054797431714268804
3,Cluster 3: Noninvasive ventilation / No ARF,pm25_5y_z,10,12583,-0.007058640956821271,0.9470722859124954,0.26779510904081444,0.26073646808399303,-0.0796015145871707,0.07892006824966111
4,Cluster 4: Invasive ventilation / Predominantly no ARF,pm25_5y_z,10,24289,0.021959829552812574,1.0475973826356946,0.42609967736801485,0.44805950692082747,-0.06875389106628661,0.106971118800806
5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,pm25_5y_z,10,17358,-0.008058166413071636,0.9647419052456995,0.39550118888039715,0.3874430224673256,-0.14851428633114006,0.12592195381041302
