outcome,race_covariate,pooled_effect,conf_low,conf_high,estimate_ci,k,site_included
ICU LOS,Asian race,1.0820764723755452,0.6269066659882165,1.867725381772719,"1.08 (0.63, 1.87)",8,Emory; Hopkins; NU; OHSU; Penn; Rush; UCSF; UMN
Mortality,Asian race,0.6676797321092008,0.232147332550353,1.920315946653062,"0.67 (0.23, 1.92)",8,Emory; Hopkins; NU; OHSU; Penn; Rush; UCSF; UMN
Post-72h survival,Asian race,0.6068861195284111,0.29444782804943476,1.2508523649711458,"0.61 (0.29, 1.25)",8,Emory; Hopkins; NU; OHSU; Penn; Rush; UCSF; UMN
Trajectory severity,Asian race,0.1231715637003123,0.009754059003616648,1.5553764949294289,"0.12 (0.01, 1.56)",8,Emory; Hopkins; NU; OHSU; Penn; Rush; UCSF; UMN
ICU LOS,Black race,0.8781577164438804,0.6046048408173272,1.2754793261453987,"0.88 (0.60, 1.28)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Mortality,Black race,0.6192556998683096,0.2976745364646347,1.2882446257372406,"0.62 (0.30, 1.29)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Post-72h survival,Black race,12.186081239434065,0.0035538082612053042,41786.32190013588,"12.19 (0.00, 41786.32)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Trajectory severity,Black race,0.065323338457587,2.608305425347516e-4,16.359811645432362,"0.07 (0.00, 16.36)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
ICU LOS,Other race,1.4765437151282177,0.891793138589479,2.4447164351734787,"1.48 (0.89, 2.44)",9,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF
Mortality,Other race,0.42405336747173533,0.12907619110741014,1.3931404151403972,"0.42 (0.13, 1.39)",9,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF
Post-72h survival,Other race,31.331739997236884,0.003317626058821142,295897.7033123727,"31.33 (0.00, 295897.70)",9,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF
Trajectory severity,Other race,0.2838320307953447,0.0016046570435332625,50.204261421508875,"0.28 (0.00, 50.20)",9,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF
ICU LOS,White race,0.9393032726244206,0.6682372363798047,1.320325462170864,"0.94 (0.67, 1.32)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Mortality,White race,0.5294485502740119,0.26860935131701297,1.0435815656187786,"0.53 (0.27, 1.04)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Post-72h survival,White race,0.5178675671737363,0.33640175818329476,0.7972218057918642,"0.52 (0.34, 0.80)",9,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Trajectory severity,White race,0.27788483610051506,0.01820870615496251,4.240827518300359,"0.28 (0.02, 4.24)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
