pm25_5y_z,no2_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,predicted_expected_rank
-2,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.93477035140374
-1.9,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.910255396521842
-1.8,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.88567713696804
-1.7,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.861052938722647
-1.6,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.8363998995330277
-1.5,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.8117347803652764
-1.4,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.7870739391846606
-1.2999999999999998,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.7624332675640995
-1.2,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.7378281305997505
-1.1,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.7132733105871276
-1,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.6887829548845854
-0.8999999999999999,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.664370528353544
-0.7999999999999998,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.640048770732024
-0.7,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.6158296592549966
-0.5999999999999999,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.591724376792227
-0.5,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.567743285727989
-0.3999999999999999,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.5438959077576047
-0.2999999999999998,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.5201909097279978
-0.19999999999999996,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.496636095593852
-0.09999999999999987,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.473238404513029
0,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.4500039150502677
0.10000000000000009,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.4269378554073713
0.20000000000000018,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.4040446195474345
0.30000000000000027,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.381327789030811
0.40000000000000036,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.3587901603358086
0.5,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.3364337773885002
0.6000000000000001,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.314259968988253
0.7000000000000002,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.2922693907744787
0.8000000000000003,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.270462071345725
0.9000000000000004,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.2488374621105987
1,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.2273944904214633
1.1,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.206131615520192
1.2000000000000002,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.1850468868016306
1.3000000000000003,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.1641380038882634
1.4000000000000004,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.1434023779955167
1.5,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.122837194060093
1.6,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.102439473100021
1.7000000000000002,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.082206134274691
1.8000000000000003,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.062134056119635
1.9000000000000004,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.042220136435682
2,0,67.67597087378641,Female,Black or African American,2021,7.915048543689319,FALSE,2.0224613503280815
